wavelength_nm,reflectance
350.0,0.055056
351.0,0.055060
352.0,0.055251
353.0,0.055413
354.0,0.055662
355.0,0.055882
356.0,0.056094
357.0,0.056341
358.0,0.056637
359.0,0.056907
360.0,0.057142
361.0,0.057391
362.0,0.057640
363.0,0.057890
364.0,0.058144
365.0,0.058406
366.0,0.058619
367.0,0.058817
368.0,0.059086
369.0,0.059408
370.0,0.059753
371.0,0.060089
372.0,0.060404
373.0,0.060765
374.0,0.061151
375.0,0.061507
376.0,0.061878
377.0,0.062257
378.0,0.062643
379.0,0.063060
380.0,0.063467
381.0,0.063872
382.0,0.064308
383.0,0.064807
384.0,0.065264
385.0,0.065675
386.0,0.066153
387.0,0.066567
388.0,0.066943
389.0,0.067337
390.0,0.067734
391.0,0.068131
392.0,0.068539
393.0,0.068978
394.0,0.069393
395.0,0.069792
396.0,0.070181
397.0,0.070549
398.0,0.070906
399.0,0.071245
400.0,0.071555
401.0,0.071878
402.0,0.072205
403.0,0.072538
404.0,0.072899
405.0,0.073282
406.0,0.073686
407.0,0.074105
408.0,0.074510
409.0,0.074921
410.0,0.075346
411.0,0.075764
412.0,0.076184
413.0,0.076604
414.0,0.077020
415.0,0.077452
416.0,0.077898
417.0,0.078352
418.0,0.078807
419.0,0.079262
420.0,0.079725
421.0,0.080199
422.0,0.080675
423.0,0.081135
424.0,0.081586
425.0,0.082061
426.0,0.082559
427.0,0.083073
428.0,0.083595
429.0,0.084134
430.0,0.084685
431.0,0.085236
432.0,0.085771
433.0,0.086292
434.0,0.086799
435.0,0.087293
436.0,0.087777
437.0,0.088287
438.0,0.088815
439.0,0.089330
440.0,0.089845
441.0,0.090362
442.0,0.090878
443.0,0.091388
444.0,0.091893
445.0,0.092398
446.0,0.092910
447.0,0.093423
448.0,0.093930
449.0,0.094429
450.0,0.094920
451.0,0.095409
452.0,0.095904
453.0,0.096412
454.0,0.096912
455.0,0.097408
456.0,0.097902
457.0,0.098388
458.0,0.098868
459.0,0.099338
460.0,0.099799
461.0,0.100258
462.0,0.100702
463.0,0.101138
464.0,0.101589
465.0,0.102020
466.0,0.102447
467.0,0.102883
468.0,0.103320
469.0,0.103757
470.0,0.104191
471.0,0.104618
472.0,0.105034
473.0,0.105443
474.0,0.105858
475.0,0.106295
476.0,0.106727
477.0,0.107150
478.0,0.107566
479.0,0.107986
480.0,0.108408
481.0,0.108829
482.0,0.109246
483.0,0.109678
484.0,0.110123
485.0,0.110577
486.0,0.111053
487.0,0.111541
488.0,0.112023
489.0,0.112489
490.0,0.112939
491.0,0.113386
492.0,0.113847
493.0,0.114330
494.0,0.114809
495.0,0.115279
496.0,0.115754
497.0,0.116244
498.0,0.116746
499.0,0.117256
500.0,0.117776
501.0,0.118303
502.0,0.118833
503.0,0.119366
504.0,0.119907
505.0,0.120437
506.0,0.120955
507.0,0.121487
508.0,0.122021
509.0,0.122553
510.0,0.123074
511.0,0.123610
512.0,0.124147
513.0,0.124687
514.0,0.125246
515.0,0.125791
516.0,0.126343
517.0,0.126924
518.0,0.127520
519.0,0.128108
520.0,0.128667
521.0,0.129209
