wavelength_nm,reflectance
414.0,0.049496
415.0,0.049497
416.0,0.049498
417.0,0.049499
418.0,0.049501
419.0,0.049502
420.0,0.049504
421.0,0.049864
422.0,0.050233
423.0,0.050618
424.0,0.051014
425.0,0.051363
426.0,0.051594
427.0,0.051670
428.0,0.051686
429.0,0.051772
430.0,0.052025
431.0,0.052408
432.0,0.052849
433.0,0.053292
434.0,0.053730
435.0,0.054169
436.0,0.054607
437.0,0.055000
438.0,0.055295
439.0,0.055462
440.0,0.055556
441.0,0.055655
442.0,0.055813
443.0,0.055987
444.0,0.056108
445.0,0.056137
446.0,0.056140
447.0,0.056213
448.0,0.056417
449.0,0.056677
450.0,0.056889
451.0,0.056978
452.0,0.057005
453.0,0.057062
454.0,0.057214
455.0,0.057405
456.0,0.057549
457.0,0.057586
458.0,0.057554
459.0,0.057516
460.0,0.057517
461.0,0.057538
462.0,0.057540
463.0,0.057499
464.0,0.057437
465.0,0.057389
466.0,0.057380
467.0,0.057405
468.0,0.057449
469.0,0.057505
470.0,0.057590
471.0,0.057727
472.0,0.057923
473.0,0.058123
474.0,0.058255
475.0,0.058269
476.0,0.058203
477.0,0.058118
478.0,0.058071
479.0,0.058093
480.0,0.058214
481.0,0.058442
482.0,0.058717
483.0,0.058959
484.0,0.059107
485.0,0.059176
486.0,0.059196
487.0,0.059198
488.0,0.059202
489.0,0.059229
490.0,0.059296
491.0,0.059410
492.0,0.059577
493.0,0.059795
494.0,0.060025
495.0,0.060221
496.0,0.060351
497.0,0.060445
498.0,0.060547
499.0,0.060700
500.0,0.060941
501.0,0.061305
502.0,0.061806
503.0,0.062379
504.0,0.062938
505.0,0.063428
506.0,0.063928
507.0,0.064547
508.0,0.065366
509.0,0.066340
510.0,0.067396
511.0,0.068483
512.0,0.069650
513.0,0.070970
514.0,0.072498
515.0,0.074212
516.0,0.076073
517.0,0.078053
518.0,0.080159
519.0,0.082411
520.0,0.084812
521.0,0.087304
522.0,0.089815
523.0,0.092288
524.0,0.094738
525.0,0.097196
526.0,0.099674
527.0,0.102106
528.0,0.104406
529.0,0.106509
530.0,0.108423
531.0,0.110176
532.0,0.111794
533.0,0.113289
534.0,0.114672
535.0,0.115951
536.0,0.117125
537.0,0.118188
538.0,0.119133
539.0,0.119943
540.0,0.120597
541.0,0.121095
542.0,0.121510
543.0,0.121933
544.0,0.122431
545.0,0.122960
546.0,0.123448
547.0,0.123847
548.0,0.124189
549.0,0.124531
550.0,0.124905
551.0,0.125261
552.0,0.125525
553.0,0.125637
554.0,0.125578
555.0,0.125340
556.0,0.124920
557.0,0.124334
558.0,0.123600
559.0,0.122734
560.0,0.121730
561.0,0.120578
562.0,0.119276
563.0,0.117853
564.0,0.116350
565.0,0.114796
566.0,0.113195
567.0,0.111544
568.0,0.109840
569.0,0.108079
570.0,0.106258
571.0,0.104388
572.0,0.102533
573.0,0.100769
574.0,0.099156
575.0,0.097679
576.0,0.096304
577.0,0.095004
578.0,0.093767
579.0,0.092589
580.0,0.091466
581.0,0.090415
582.0,0.089453
583.0,0.088596
584.0,0.087838
585.0,0.087170
586.0,0.086574
587.0,0.086004
588.0,0.085405
589.0,0.084748
590.0,0.084100
591.0,0.083555
592.0,0.083177
593.0,0.082922
594.0,0.082717
595.0,0.082503
596.0,0.082268
597.0,0.082010
598.0,0.081732
599.0,0.081444
