wavelength_nm,reflectance
350.0,0.025240
351.0,0.025242
352.0,0.025244
353.0,0.025245
354.0,0.025247
355.0,0.025204
356.0,0.025173
357.0,0.025168
358.0,0.025195
359.0,0.025241
360.0,0.025285
361.0,0.025317
362.0,0.025365
363.0,0.025466
364.0,0.025645
365.0,0.025870
366.0,0.026097
367.0,0.026294
368.0,0.026478
369.0,0.026679
370.0,0.026917
371.0,0.027181
372.0,0.027448
373.0,0.027705
374.0,0.027972
375.0,0.028274
376.0,0.028630
377.0,0.029012
378.0,0.029385
379.0,0.029726
380.0,0.030070
381.0,0.030466
382.0,0.030948
383.0,0.031479
384.0,0.032008
385.0,0.032497
386.0,0.032968
387.0,0.033460
388.0,0.033999
389.0,0.034578
390.0,0.035179
391.0,0.035790
392.0,0.036430
393.0,0.037124
394.0,0.037888
395.0,0.038689
396.0,0.039485
397.0,0.040247
398.0,0.040992
399.0,0.041751
400.0,0.042548
401.0,0.043374
402.0,0.044214
403.0,0.045056
404.0,0.045907
405.0,0.046778
406.0,0.047676
407.0,0.048589
408.0,0.049502
409.0,0.050403
410.0,0.051298
411.0,0.052199
412.0,0.053116
413.0,0.054053
414.0,0.055015
415.0,0.056001
416.0,0.056999
417.0,0.057992
418.0,0.058966
419.0,0.059932
420.0,0.060901
421.0,0.061884
422.0,0.062875
423.0,0.063864
424.0,0.064844
425.0,0.065817
426.0,0.066789
427.0,0.067764
428.0,0.068746
429.0,0.069740
430.0,0.070749
431.0,0.071767
432.0,0.072786
433.0,0.073799
434.0,0.074794
435.0,0.075759
436.0,0.076687
437.0,0.077588
438.0,0.078478
439.0,0.079371
440.0,0.080262
441.0,0.081144
442.0,0.082011
443.0,0.082872
444.0,0.083735
445.0,0.084608
446.0,0.085486
447.0,0.086361
448.0,0.087228
449.0,0.088091
450.0,0.088958
451.0,0.089831
452.0,0.090705
453.0,0.091568
454.0,0.092414
455.0,0.093248
456.0,0.094080
457.0,0.094916
458.0,0.095751
459.0,0.096580
460.0,0.097396
461.0,0.098204
462.0,0.099007
463.0,0.099809
464.0,0.100609
465.0,0.101407
466.0,0.102202
467.0,0.102994
468.0,0.103784
469.0,0.104571
470.0,0.105354
471.0,0.106128
472.0,0.106891
473.0,0.107649
474.0,0.108408
475.0,0.109173
476.0,0.109940
477.0,0.110702
478.0,0.111457
479.0,0.112204
480.0,0.112949
481.0,0.113694
482.0,0.114439
483.0,0.115187
484.0,0.115936
485.0,0.116682
486.0,0.117422
487.0,0.118152
488.0,0.118878
489.0,0.119605
490.0,0.120339
491.0,0.121074
492.0,0.121806
493.0,0.122527
494.0,0.123243
495.0,0.123958
496.0,0.124675
497.0,0.125393
498.0,0.126109
499.0,0.126820
500.0,0.127529
501.0,0.128236
502.0,0.128945
503.0,0.129653
504.0,0.130360
505.0,0.131063
506.0,0.131766
507.0,0.132471
508.0,0.133178
509.0,0.133887
510.0,0.134593
511.0,0.135295
512.0,0.135994
513.0,0.136692
514.0,0.137390
515.0,0.138089
516.0,0.138788
517.0,0.139486
518.0,0.140184
519.0,0.140882
520.0,0.141579
521.0,0.142276
522.0,0.142972
523.0,0.143667
524.0,0.144361
525.0,0.145054
526.0,0.145746
527.0,0.146439
528.0,0.147132
529.0,0.147824
530.0,0.148516
531.0,0.149207
532.0,0.149897
533.0,0.150587
534.0,0.151275
535.0,0.151964
536.0,0.152653
537.0,0.153345
538.0,0.154039
539.0,0.154737
540.0,0.155442
541.0,0.156155
542.0,0.156885
543.0,0.157640
544.0,0.158420
545.0,0.159196
546.0,0.159932
547.0,0.160603
548.0,0.161229
549.0,0.161843
550.0,0.162471
551.0,0.163121
552.0,0.163790
553.0,0.164480
554.0,0.165181
555.0,0.165886
556.0,0.166588
557.0,0.167289
558.0,0.167991
559.0,0.168696
560.0,0.169403
561.0,0.170109
562.0,0.170811
563.0,0.171511
564.0,0.172207
565.0,0.172901
566.0,0.173593
567.0,0.174283
568.0,0.174973
569.0,0.175664
570.0,0.176354
571.0,0.177046
572.0,0.177739
573.0,0.178435
574.0,0.179133
575.0,0.179833
576.0,0.180532
577.0,0.181229
578.0,0.181917
579.0,0.182590
580.0,0.183246
581.0,0.183889
582.0,0.184529
583.0,0.185171
584.0,0.185816
585.0,0.186463
586.0,0.187110
587.0,0.187760
588.0,0.188411
589.0,0.189064
590.0,0.189718
591.0,0.190369
592.0,0.191018
593.0,0.191665
594.0,0.192316
595.0,0.192972
596.0,0.193633
597.0,0.194297
598.0,0.194962
599.0,0.195628
600.0,0.196295
601.0,0.196961
602.0,0.197624
603.0,0.198283
604.0,0.198937
605.0,0.199583
606.0,0.200221
607.0,0.200852
608.0,0.201477
609.0,0.202102
610.0,0.202728
611.0,0.203353
612.0,0.203973
613.0,0.204584
614.0,0.205187
615.0,0.205783
616.0,0.206374
617.0,0.206963
618.0,0.207551
619.0,0.208141
620.0,0.208735
621.0,0.209331
622.0,0.209931
623.0,0.210536
624.0,0.211145
625.0,0.211757
626.0,0.212372
627.0,0.212984
628.0,0.213591
629.0,0.214191
630.0,0.214783
631.0,0.215366
632.0,0.215942
633.0,0.216513
634.0,0.217080
